0,No,Field,StarID,RA,Decl,X,Y,V,V_I,I,Vsig,Isig,B_V,B,Bsig
161,161,LMC_SC10,55306,5.167211,-68.90544,55.21,6262.08,19.192,1.035,18.155,0.060,0.045,,,
162,162,LMC_SC10,55307,5.167539,-68.90539,70.70,6262.85,18.760,0.870,17.889,0.039,0.042,0.776,19.541,0.098
163,163,LMC_SC10,55308,5.167767,-68.90539,81.38,6262.86,18.488,0.347,18.140,0.130,0.076,0.359,18.849,0.183
164,164,LMC_SC10,55309,5.168242,-68.90533,103.71,6263.30,19.186,1.099,18.086,0.088,0.055,0.848,20.040,0.151
165,165,LMC_SC10,55310,5.166081,-68.90519,2.09,6264.08,,,18.419,,0.114,,,
166,166,LMC_SC10,55311,5.166519,-68.90500,22.75,6265.71,19.717,1.077,18.639,0.116,0.065,,,
167,167,LMC_SC10,55312,5.168542,-68.90497,117.85,6266.56,18.096,0.006,18.090,0.021,0.045,-0.039,18.057,0.029
168,168,LMC_SC10,55318,5.166408,-68.90458,17.54,6269.41,18.143,-0.055,18.198,0.033,0.059,,,
169,169,LMC_SC10,55319,5.167200,-68.90453,54.73,6270.02,18.796,0.978,17.817,0.130,0.038,,,
170,170,LMC_SC10,55321,5.166094,-68.90447,2.77,6270.33,18.223,-0.286,18.510,0.245,0.219,,,
171,171,LMC_SC10,55327,5.166858,-68.90419,38.64,6273.03,18.668,0.197,18.471,0.067,0.114,,,
172,172,LMC_SC10,55328,5.168589,-68.90419,120.00,6273.36,19.002,0.902,18.099,0.038,0.041,0.826,19.834,0.138
173,173,LMC_SC10,55330,5.166217,-68.90406,8.49,6273.91,18.459,0.305,18.153,0.042,0.053,,,
174,174,LMC_SC10,55334,5.166733,-68.90394,32.72,6275.13,19.510,0.800,18.709,0.186,0.122,,,
175,175,LMC_SC10,55338,5.166828,-68.90356,37.17,6278.55,18.024,0.003,18.021,0.101,0.104,,,
176,176,LMC_SC10,55342,5.168089,-68.90314,96.42,6282.57,19.051,0.892,18.158,0.035,0.045,1.066,20.122,0.175
177,177,LMC_SC10,55343,5.166936,-68.90308,42.23,6282.70,19.158,0.550,18.606,0.513,0.437,,,
178,178,LMC_SC10,55345,5.166208,-68.90281,8.01,6284.72,18.859,0.960,17.897,0.081,0.049,,,
179,179,LMC_SC10,55346,5.167042,-68.90297,47.17,6283.57,18.289,-0.037,18.327,0.365,0.557,,,
180,180,LMC_SC10,55347,5.167572,-68.90294,72.15,6283.97,19.465,0.994,18.470,0.057,0.060,0.795,20.266,0.157
181,181,LMC_SC10,55348,5.166819,-68.90281,36.78,6285.05,19.009,0.732,18.277,0.202,0.247,,,
182,182,LMC_SC10,55351,5.166769,-68.90242,34.41,6288.39,19.410,1.034,18.375,0.170,0.138,,,
183,183,LMC_SC10,55352,5.167097,-68.90244,49.71,6288.34,18.580,0.443,18.136,0.859,0.586,,,
184,184,LMC_SC10,55353,5.167178,-68.90244,53.55,6288.34,18.420,0.306,18.114,0.099,0.119,,,
185,185,LMC_SC10,55357,5.166828,-68.90217,37.14,6290.45,19.629,0.278,19.350,0.309,0.372,,,
186,186,LMC_SC10,55358,5.166856,-68.90239,38.35,6288.70,18.410,0.680,17.730,0.605,0.519,,,
187,187,LMC_SC10,55359,5.167086,-68.90278,49.29,6285.39,18.848,0.348,18.499,0.539,0.535,,,
188,188,LMC_SC10,55360,5.167764,-68.90250,81.17,6287.86,18.830,0.250,18.579,0.061,0.151,-0.089,18.741,0.052
189,189,LMC_SC10,55363,5.167369,-68.90211,62.49,6291.22,19.088,0.914,18.173,0.074,0.054,0.884,19.977,0.285
190,190,LMC_SC10,55365,5.166939,-68.90183,42.27,6293.46,19.144,0.954,18.189,0.327,0.359,,,
191,191,LMC_SC10,55366,5.167678,-68.90169,77.03,6294.96,18.999,0.221,18.777,0.104,0.160,0.439,19.440,0.158
192,192,LMC_SC10,55369,5.166819,-68.90178,36.70,6293.96,19.239,0.814,18.424,0.219,0.172,,,
193,193,LMC_SC10,55371,5.166094,-68.90117,2.55,6299.08,19.023,0.970,18.052,0.275,0.059,,,
194,194,LMC_SC10,55372,5.166072,-68.90153,1.56,6295.98,,,18.211,,0.104,,,
195,195,LMC_SC10,55374,5.166886,-68.90119,39.79,6299.00,18.708,0.896,17.811,0.072,0.090,,,
196,196,LMC_SC10,55375,5.167906,-68.90128,87.68,6298.57,19.003,1.168,17.834,0.052,0.038,0.788,19.795,0.120
197,197,LMC_SC10,55382,5.167136,-68.90064,51.56,6303.99,18.108,0.011,18.097,0.029,0.061,,,
198,198,LMC_SC10,55393,5.168058,-68.89989,94.89,6310.71,18.724,0.864,17.858,0.050,0.041,0.873,19.602,0.154
199,199,LMC_SC10,55399,5.166494,-68.89950,21.31,6313.58,19.489,1.004,18.483,0.072,0.066,,,
200,200,LMC_SC10,55400,5.168156,-68.89958,99.44,6313.31,18.622,0.132,18.490,0.048,0.063,-0.110,18.512,0.038
201,201,LMC_SC10,55403,5.166867,-68.89942,38.77,6314.53,19.134,0.846,18.287,0.130,0.085,,,
202,202,LMC_SC10,55404,5.167506,-68.89933,68.78,6315.36,19.159,0.948,18.211,0.038,0.038,0.895,20.061,0.097
203,203,LMC_SC10,55408,5.166411,-68.89908,17.37,6317.24,18.512,0.030,18.482,0.027,0.054,,,
204,204,LMC_SC10,55414,5.166403,-68.89864,16.87,6321.10,19.296,1.038,18.256,0.050,0.044,,,
205,205,LMC_SC10,55416,5.167983,-68.89850,91.20,6322.74,19.249,1.316,17.933,0.155,0.035,0.111,19.363,0.174
206,206,LMC_SC10,55419,5.166125,-68.89847,3.85,6322.51,19.181,0.665,18.516,0.183,0.100,,,
207,207,LMC_SC10,55420,5.168181,-68.89842,100.45,6323.51,19.589,1.015,18.573,0.052,0.062,0.923,20.518,0.130
208,208,LMC_SC10,55424,5.166825,-68.89806,36.73,6326.22,19.396,1.034,18.361,0.065,0.058,,,
209,209,LMC_SC10,55431,5.167006,-68.89778,45.19,6328.89,19.360,0.889,18.471,0.059,0.070,,,
210,210,LMC_SC10,55433,5.167828,-68.89733,83.90,6333.01,19.160,0.952,18.207,0.050,0.040,0.780,19.945,0.102
211,211,LMC_SC10,55434,5.168014,-68.89733,92.64,6333.03,18.608,0.232,18.376,0.036,0.054,0.081,18.690,0.029
